bpm_confidence,distance_threshold_factor,clean_beats_threshold,overlap_threshold,early_beat_threshold,late_beat_threshold,missed_beat_threshold,mode_interval,nudge_amount,f_measure,cmlt,amlt
0.5,0.1,0.07,0.1,0.5,1.1,1.6,0.001,0.5,0.8069797276700483,0.7846005972151411,0.8518937171185915
0.5,0.1,0.07,0.1,0.5,1.1,1.7,0.001,0.5,0.8030999506354202,0.7843200013648405,0.85743843790064
0.5,0.1,0.07,0.1,0.5,1.1,1.8,0.001,0.5,0.7948649486479424,0.7766557536646189,0.8622835076335572
0.5,0.1,0.07,0.1,0.5,1.1,1.9,0.001,0.5,0.7881444507737566,0.7718277184608414,0.8639968323313919
0.5,0.1,0.07,0.1,0.5,1.2,1.6,0.001,0.5,0.835662403474289,0.8164671940835855,0.866148717105602
0.5,0.1,0.07,0.1,0.5,1.2,1.7,0.001,0.5,0.8357254268484331,0.8168328652693571,0.8640869330977325
0.5,0.1,0.07,0.4,0.6,1.1,1.9,0.001,0.5,0.8246646813726717,0.8118003476379237,0.8903577341604677
0.5,0.1,0.07,0.1,0.8,1.1,1.6,0.001,0.5,0.8261721631687432,0.8097250671407675,0.8898626108355755
0.5,0.1,0.07,0.4,0.6,1.1,1.6,0.001,0.5,0.8399525984961417,0.8208956694712569,0.8801976249617535
0.5,0.1,0.07,0.3,0.5,1.5,1.8,0.001,0.5,0.8552602207950126,0.8353475480740724,0.8785732715437368
0.5,0.1,0.07,0.3,0.8,1.5,1.6,0.001,0.5,0.8513362126996565,0.836666032611469,0.8893344401866345
0.5,0.1,0.07,0.1,0.5,1.5,1.7,0.001,0.5,0.8540641847127179,0.833794573222178,0.8769343285747621
0.5,0.1,0.07,0.3,0.5,1.3,1.6,0.001,0.5,0.843744422409477,0.8249853606224993,0.875213405223884
0.5,0.1,0.07,0.3,0.6,1.4,1.6,0.001,0.5,0.9080260877619104,0.8934762973209882,0.913130965591178
0.5,0.1,0.07,0.3,0.5,1.4,1.9,0.001,0.5,0.8533594615119919,0.8360554339948604,0.8836860908688975
0.5,0.1,0.07,0.2,0.6,1.3,1.6,0.001,0.5,0.885222241487955,0.8691269301637118,0.9012426264444444
0.5,0.1,0.07,0.1,0.7,1.1,1.9,0.001,0.5,0.8286700820106939,0.8165174370308221,0.8987112768712763
0.5,0.1,0.07,0.2,0.7,1.2,1.6,0.001,0.5,0.8850975225862362,0.8707209280003845,0.90806027783971
0.5,0.1,0.07,0.2,0.5,1.4,1.8,0.001,0.5,0.8595837327633596,0.8424296061837004,0.8808303921128506
0.5,0.1,0.07,0.4,0.8,1.4,1.8,0.001,0.5,0.8959939392068711,0.8842514280586629,0.9138773603204392
0.5,0.1,0.07,0.1,0.8,1.5,1.8,0.001,0.5,0.8143757093073694,0.8008952257695887,0.8771598482938782
0.5,0.1,0.07,0.3,0.7,1.3,1.9,0.001,0.5,0.8887390156718085,0.8760025005926734,0.9199346136851312
0.5,0.1,0.07,0.2,0.5,1.5,1.7,0.001,0.5,0.8539803328533999,0.8340776870754286,0.8772712281302266
0.5,0.1,0.07,0.4,0.7,1.4,1.7,0.001,0.5,0.896858735987147,0.8844277724915014,0.9210762001556806
0.5,0.1,0.07,0.3,0.7,1.4,1.9,0.001,0.5,0.891684699350335,0.8790588793207642,0.9239891500775268
0.5,0.1,0.07,0.4,0.7,1.1,1.6,0.001,0.5,0.8443929569678648,0.8267940400757383,0.8870268229392222
0.5,0.1,0.07,0.1,0.8,1.5,1.9,0.001,0.5,0.8138340570434989,0.8005362221960947,0.876925276291051
0.5,0.1,0.07,0.3,0.5,1.2,1.8,0.001,0.5,0.8211576482170639,0.8034463352643091,0.8670733997989705
0.5,0.1,0.07,0.2,0.5,1.2,1.6,0.001,0.5,0.8358909555185103,0.8168969275012491,0.8661524738707364
0.5,0.1,0.07,0.2,0.5,1.3,1.9,0.001,0.5,0.8346634343362195,0.817596330066023,0.8760159791160552
0.5,0.1,0.07,0.1,0.5,1.5,1.9,0.001,0.5,0.8535349433183812,0.8334111225216578,0.8765903811155024
0.5,0.1,0.07,0.2,0.6,1.5,1.7,0.001,0.5,0.8573068379455087,0.8406680685132056,0.8769010010217445
0.5,0.1,0.07,0.3,0.7,1.1,1.8,0.001,0.5,0.8312477275047234,0.8178000936707306,0.8924550631283884
0.5,0.1,0.07,0.3,0.5,1.4,1.6,0.001,0.5,0.8606022585727502,0.8433566089270949,0.8816758955615396
0.5,0.1,0.07,0.2,0.7,1.3,1.8,0.001,0.5,0.8894030900410738,0.8753292004234946,0.9079347111033256
0.5,0.1,0.07,0.1,0.7,1.4,1.7,0.001,0.5,0.8793607384764951,0.8673382750640967,0.9090558395320912
0.5,0.1,0.07,0.4,0.6,1.5,1.6,0.001,0.5,0.8680959648907095,0.8511201853074265,0.8835733679730059
0.5,0.1,0.07,0.2,0.8,1.1,1.7,0.001,0.5,0.8227932316329598,0.8092522079869784,0.8872491811418535
0.5,0.1,0.07,0.1,0.7,1.2,1.9,0.001,0.5,0.8620849014116674,0.8505511396252092,0.9005120901654118
0.5,0.1,0.07,0.1,0.8,1.4,1.6,0.001,0.5,0.8649514777513506,0.853616215748948,0.9102377008838356
0.5,0.1,0.07,0.4,0.8,1.5,1.8,0.001,0.5,0.8513730813204445,0.8370803493021832,0.8901481936948169
0.5,0.1,0.07,0.2,0.5,1.3,1.6,0.001,0.5,0.8426103414979156,0.8238269506436673,0.8742470864200307
0.5,0.1,0.07,0.2,0.7,1.4,1.7,0.001,0.5,0.8934174302634039,0.8812909534338725,0.9177833592013528
0.5,0.1,0.07,0.3,0.5,1.5,1.6,0.001,0.5,0.8552625666947847,0.8350996534662469,0.8782745829470876
0.5,0.1,0.07,0.2,0.5,1.2,1.7,0.001,0.5,0.8359295654376605,0.8172402293966945,0.864004942757031
0.5,0.1,0.07,0.4,0.7,1.5,1.8,0.001,0.5,0.8571046547853465,0.8422944523359581,0.8907805247822638
0.5,0.1,0.07,0.1,0.7,1.5,1.8,0.001,0.5,0.8371403859638736,0.8227729805176988,0.877195034292919
0.5,0.1,0.07,0.1,0.6,1.4,1.8,0.001,0.5,0.8967910452394134,0.8824370575465105,0.9037096873017147
0.5,0.1,0.07,0.2,0.8,1.5,1.7,0.001,0.5,0.8319700778707099,0.8181064207905844,0.8867111310218649
0.5,0.1,0.07,0.3,0.7,1.2,1.8,0.001,0.5,0.871661463860663,0.8585235334959124,0.9039373154199352
0.5,0.1,0.07,0.3,0.7,1.4,1.7,0.001,0.5,0.8991354882918958,0.8866498160589478,0.92238193827119
0.5,0.1,0.07,0.2,0.7,1.1,1.6,0.001,0.5,0.8399249192734166,0.8223948854160277,0.8874093218868273
0.5,0.1,0.07,0.1,0.7,1.1,1.7,0.001,0.5,0.8367557491211319,0.8228445510756306,0.8886964650894318
0.5,0.1,0.07,0.4,0.8,1.4,1.9,0.001,0.5,0.8887553801956309,0.8772794174400893,0.9135087956477776
0.5,0.1,0.07,0.3,0.6,1.2,1.6,0.001,0.5,0.8783718361653474,0.8621765361380237,0.8920259597863103
0.5,0.1,0.07,0.3,0.8,1.2,1.8,0.001,0.5,0.8611230064434396,0.848156916737159,0.9053495887717412
0.5,0.1,0.07,0.3,0.8,1.4,1.8,0.001,0.5,0.895582139129808,0.8836634267016115,0.914721255829089
0.5,0.1,0.07,0.2,0.6,1.4,1.7,0.001,0.5,0.9035321742250388,0.8891878101128664,0.90882191443401
0.5,0.1,0.07,0.2,0.6,1.2,1.7,0.001,0.5,0.8770730592929249,0.8610132473811428,0.8868019841821588
0.5,0.1,0.07,0.4,0.7,1.4,1.8,0.001,0.5,0.8943969149491697,0.8821259384088274,0.9235815374445492
0.5,0.1,0.07,0.2,0.8,1.3,1.7,0.001,0.5,0.8784887415115203,0.8653894382881027,0.9109666898215673
0.9,0.1,0.07,0.4,0.7,1.2,1.7,0.001,0.5,0.8888578518187578,0.875992152817216,0.8924377697671418
0.9,0.1,0.07,0.2,0.8,1.4,1.6,0.001,0.5,0.8731549716383722,0.8619382477129589,0.9162664824479348
0.9,0.1,0.07,0.1,0.5,1.4,1.7,0.001,0.5,0.862177268517259,0.8447162669195915,0.8801706721133862
0.9,0.1,0.07,0.1,0.8,1.1,1.8,0.001,0.5,0.8187883919832026,0.8061055949849899,0.892188714928696
0.9,0.1,0.07,0.1,0.5,1.3,1.7,0.001,0.5,0.8529036553772632,0.8341759847851594,0.871209337347375
0.9,0.1,0.07,0.3,0.7,1.4,1.9,0.001,0.5,0.904163253645898,0.8921460539232062,0.917406495109166
0.9,0.1,0.07,0.2,0.8,1.3,1.8,0.001,0.5,0.8656885215777692,0.8533354586934861,0.9036096430147574
0.9,0.1,0.07,0.2,0.6,1.3,1.8,0.001,0.5,0.8766523684349891,0.8606858632799885,0.892577275657931
0.9,0.1,0.07,0.1,0.6,1.2,1.9,0.001,0.5,0.8717076082652377,0.8577903254873216,0.8890751039099011
0.9,0.1,0.07,0.3,0.6,1.3,1.9,0.001,0.5,0.8868159759771163,0.8721020574940183,0.9035172114618824
0.9,0.1,0.07,0.2,0.7,1.3,1.7,0.001,0.5,0.8974614769164101,0.88415909974599,0.9055204404170668
0.9,0.1,0.07,0.4,0.6,1.2,1.7,0.001,0.5,0.8753312780844368,0.8596384163358449,0.884122028042406
0.9,0.1,0.07,0.2,0.7,1.4,1.6,0.001,0.5,0.896896408768064,0.8848316756517343,0.91427266291309
0.9,0.1,0.07,0.4,0.8,1.4,1.6,0.001,0.5,0.890773551240656,0.8788081137078639,0.9186174836458606
0.9,0.1,0.07,0.3,0.7,1.5,1.9,0.001,0.5,0.8625375668668781,0.8489744959161775,0.8887492517995199
0.9,0.1,0.07,0.4,0.5,1.4,1.9,0.001,0.5,0.8621492000063362,0.8453184605078651,0.8806324048293256
0.9,0.1,0.07,0.2,0.5,1.1,1.7,0.001,0.5,0.7953188013432917,0.777160683871029,0.859288814990539
0.9,0.1,0.07,0.3,0.8,1.5,1.7,0.001,0.5,0.8389424934865508,0.8254748900446169,0.8900514852662259
0.9,0.1,0.07,0.1,0.6,1.4,1.7,0.001,0.5,0.8850048313567404,0.8704780870710224,0.898747342874567
0.9,0.1,0.07,0.2,0.5,1.5,1.9,0.001,0.5,0.8563709272993077,0.8374911482205764,0.8795901504029392
0.9,0.1,0.07,0.3,0.6,1.5,1.6,0.001,0.5,0.8594293733991081,0.8424874486898934,0.882069157878967
0.9,0.1,0.07,0.3,0.8,1.4,1.9,0.001,0.5,0.8831405680282896,0.8717730679728309,0.9116676492828624
0.9,0.1,0.07,0.4,0.7,1.5,1.8,0.001,0.5,0.8627412865202767,0.8485657041307385,0.8877000632406643
0.9,0.1,0.07,0.1,0.6,1.2,1.7,0.001,0.5,0.8723944086451789,0.8565753064248447,0.8822240403495258
0.9,0.1,0.07,0.2,0.7,1.1,1.7,0.001,0.5,0.8347306772199778,0.8211578768483611,0.8876863038111312
